name,funding,words,imgs,gifs,vids,stretch goals,backers,campaign dur,twitter followers,platforms,developers,prev campaigns,state,steam,handdrawn,pixel,,,,
Caos Trigger,0.05,1208,5,4,1,0,64,30,39,3,5,0,0,1,1,1,,,,
Sundered,8.08,1818,11,6,3,0,4681,31,26200,4,7,0,1,1,1,0,,,,
Curse of the Sea Rats,16.16,2539,53,9,1,10,5958,38,2431,6,12,0,1,1,1,0,,,,
Barbarian Saga,0.03,1014,34,11,1,4,41,30,64,1,2,0,0,0,1,0,,,,
The Spirit of the Samurai,0.23,2939,36,19,2,0,248,30,535,2,4,0,0,0,0,0,,,,
Oleas Messenger,0.17,436,2,0,1,0,20,45,0,1,1,0,0,0,1,1,,,,
Legend of Iya,1.03,1717,10,1,4,0,2864,30,2336,4,1,0,1,1,1,1,,,,
Faeland,1.98,2375,12,3,1,5,2441,30,1026,3,7,0,1,1,1,1,,,,
Monster Sanctuary,5.27,1286,17,16,1,10,4466,30,8320,1,2,0,1,1,1,1,,,,
Crocs Hunter,0.04,1300,13,7,1,10,17,60,0,5,3,0,0,0,0,0,,,,
Bok A Kobolds Journey,0.01,549,6,0,0,0,15,31,0,1,2,0,0,0,0,0,,,,
Blu,1.22,1582,17,9,2,3,407,30,1901,4,5,0,1,1,0,0,,,,
Andromeda,0.46,2432,20,8,1,6,493,60,3490,6,4,1,0,1,1,1,,,,
Nine Years of Shadows,5.23,699,25,12,1,7,2919,30,10000,4,12,0,1,1,1,1,,,,
Blessed Surface,0.34,1972,13,6,2,0,90,40,0,3,1,0,0,1,1,1,,,,
Marko Beyond Brave,1.44,2003,20,8,1,3,639,30,201,6,6,0,1,0,1,0,,,,
Ruby the Wayward Mira,0.2,881,9,2,1,3,176,30,4044,1,1,0,0,0,1,1,,,,
The Last Faith,4.67,2326,52,36,3,10,4053,31,5373,6,2,0,1,1,1,1,,,,
KnifeBoy,0.08,934,4,4,1,5,14,30,0,1,1,0,0,1,0,0,,,,
Pawfury the Bacon of Destiny,0.1,1054,7,2,1,0,42,40,17,3,2,0,0,0,0,0,,,,
Sinnerman,0.03,541,7,6,1,0,29,30,0,1,1,0,0,0,1,1,,,,
Slime Evo,0.1,1235,18,9,1,11,65,35,1191,1,8,0,0,0,1,1,,,,
Silent Santicado,1.07,2044,9,7,1,2,776,30,6704,2,4,0,1,1,1,1,,,,
Esdraz,1.13,1426,37,19,4,0,623,60,529,6,1,0,1,0,1,0,,,,
Turbo Kid,3.49,3103,37,13,2,5,1936,30,584,1,5,0,1,1,1,1,,,,
Boma Naraka Sura,1.14,1316,10,3,3,6,625,40,97,1,11,0,1,1,1,0,,,,
Steamdolls,3.16,2490,32,16,1,8,1614,30,1166,6,5,0,1,1,0,0,,,,
ANNE,1.43,984,6,0,1,8,4113,30,1296,3,3,0,1,0,1,1,,,,
Red Goddess,1.34,1686,21,6,1,6,1276,31,14100,6,6,1,1,1,0,1,,,,
Ghost Song,3.6,1429,12,1,3,4,3014,30,4915,3,1,0,1,1,0,1,,,,
Heavy Gunn,0.06,199,9,3,1,0,5,30,0,2,1,0,0,0,0,0,,,,
Proyecto Arteria,0,413,0,0,1,0,1,30,0,1,1,0,0,0,0,1,,,,
Akita King Pig Thinks Pink,0.62,3289,19,6,1,2,343,30,1729,4,4,0,0,1,1,0,,,,
The Seashore,0.06,1506,13,4,2,10,30,30,27,2,4,0,0,0,1,1,,,,
Beyond Human,0.21,1067,9,8,1,7,330,30,1539,5,3,0,0,0,1,1,,,,
Greedy Guns,1.17,1031,15,6,1,8,535,30,1655,3,3,0,1,1,1,1,,,,
Freja and the Last Prophecy,1.03,2283,15,7,3,4,686,31,790,4,4,0,1,0,0,0,,,,
Moon Raider,1.18,796,14,14,1,0,386,30,2585,1,2,2,1,1,1,1,,,,
Reknum Fantasy of Dreams,3.21,1808,20,7,4,0,360,33,2925,5,9,1,1,1,1,1,,,,
Timespinner,3.53,2304,8,6,1,7,5751,30,6055,3,4,0,1,1,1,1,,,,
